N:1 ANS:1
N:2 ANS:2
N:3 ANS:3
N:4 ANS:4
N:5 ANS:5
N:6 ANS:6
N:7 ANS:7
N:8 ANS:8
N:9 ANS:9
N:10 ANS:9
N:11 ANS:12
N:12 ANS:12
N:13 ANS:12
N:14 ANS:12
N:15 ANS:12
N:16 ANS:12
N:17 ANS:12
N:18 ANS:12
N:19 ANS:12
N:20 ANS:12
N:21 ANS:14
N:22 ANS:17
N:23 ANS:17
N:24 ANS:17
N:25 ANS:17
N:26 ANS:17
N:27 ANS:17
N:28 ANS:17
N:29 ANS:17
N:30 ANS:17
N:31 ANS:19
N:32 ANS:21
N:33 ANS:24
N:34 ANS:24
N:35 ANS:24
N:36 ANS:24
N:37 ANS:24
N:38 ANS:24
N:39 ANS:24
N:40 ANS:24
N:41 ANS:26
N:42 ANS:28
N:43 ANS:30
N:44 ANS:33
N:45 ANS:33
N:46 ANS:33
N:47 ANS:33
N:48 ANS:33
N:49 ANS:33
N:50 ANS:33
N:51 ANS:35
N:52 ANS:37
N:53 ANS:39
N:54 ANS:41
N:55 ANS:44
N:56 ANS:44
N:57 ANS:44
N:58 ANS:44
N:59 ANS:44
N:60 ANS:44
N:61 ANS:46
N:62 ANS:48
N:63 ANS:50
N:64 ANS:52
N:65 ANS:54
N:66 ANS:57
N:67 ANS:57
N:68 ANS:57
N:69 ANS:57
N:70 ANS:57
N:71 ANS:59
N:72 ANS:61
N:73 ANS:63
N:74 ANS:65
N:75 ANS:67
N:76 ANS:69
N:77 ANS:72
N:78 ANS:72
N:79 ANS:72
N:80 ANS:72
N:81 ANS:74
N:82 ANS:76
N:83 ANS:78
N:84 ANS:80
N:85 ANS:82
N:86 ANS:84
N:87 ANS:86
N:88 ANS:89
N:89 ANS:89
N:90 ANS:89
N:91 ANS:91
N:92 ANS:93
N:93 ANS:95
N:94 ANS:97
N:95 ANS:99
N:96 ANS:101
N:97 ANS:103
N:98 ANS:105
N:99 ANS:108
N:100 ANS:108
N:101 ANS:108
N:102 ANS:108
N:103 ANS:108
N:104 ANS:108
N:105 ANS:108
N:106 ANS:108
N:107 ANS:108
N:108 ANS:108
N:109 ANS:108
N:110 ANS:108
N:111 ANS:113
N:112 ANS:115
N:113 ANS:117
N:114 ANS:119
N:115 ANS:121
N:116 ANS:123
N:117 ANS:125
N:118 ANS:127
N:119 ANS:129
N:120 ANS:129
N:121 ANS:136
N:122 ANS:138
N:123 ANS:140
N:124 ANS:142
N:125 ANS:144
N:126 ANS:146
N:127 ANS:148
N:128 ANS:150
N:129 ANS:152
N:130 ANS:152
N:131 ANS:161
N:132 ANS:163
N:133 ANS:165
N:134 ANS:167
N:135 ANS:169
N:136 ANS:171
N:137 ANS:173
N:138 ANS:175
N:139 ANS:177
N:140 ANS:177
N:141 ANS:188
N:142 ANS:190
N:143 ANS:192
N:144 ANS:194
N:145 ANS:196
N:146 ANS:198
N:147 ANS:200
N:148 ANS:202
N:149 ANS:204
N:150 ANS:204
N:151 ANS:217
N:152 ANS:219
N:153 ANS:221
N:154 ANS:223
N:155 ANS:225
N:156 ANS:227
N:157 ANS:229
N:158 ANS:231
N:159 ANS:233
N:160 ANS:233
N:161 ANS:248
N:162 ANS:250
N:163 ANS:252
N:164 ANS:254
N:165 ANS:256
N:166 ANS:258
N:167 ANS:260
N:168 ANS:262
N:169 ANS:264
N:170 ANS:264
N:171 ANS:281
N:172 ANS:283
N:173 ANS:285
N:174 ANS:287
N:175 ANS:289
N:176 ANS:291
N:177 ANS:293
N:178 ANS:295
N:179 ANS:297
N:180 ANS:297
N:181 ANS:316
N:182 ANS:318
N:183 ANS:320
N:184 ANS:322
N:185 ANS:324
N:186 ANS:326
N:187 ANS:328
N:188 ANS:330
N:189 ANS:332
N:190 ANS:332
N:191 ANS:353
N:192 ANS:355
N:193 ANS:357
N:194 ANS:359
N:195 ANS:361
N:196 ANS:363
N:197 ANS:365
N:198 ANS:367
N:199 ANS:369
N:200 ANS:369
N:201 ANS:389
N:202 ANS:394
N:203 ANS:396
N:204 ANS:398
N:205 ANS:400
N:206 ANS:402
N:207 ANS:404
N:208 ANS:406
N:209 ANS:408
N:210 ANS:408
N:211 ANS:428
N:212 ANS:435
N:213 ANS:437
N:214 ANS:439
N:215 ANS:441
N:216 ANS:443
N:217 ANS:445
N:218 ANS:447
N:219 ANS:449
N:220 ANS:449
N:221 ANS:469
N:222 ANS:478
N:223 ANS:480
N:224 ANS:482
N:225 ANS:484
N:226 ANS:486
N:227 ANS:488
N:228 ANS:490
N:229 ANS:492
N:230 ANS:492
N:231 ANS:512
N:232 ANS:523
N:233 ANS:525
N:234 ANS:527
N:235 ANS:529
N:236 ANS:531
N:237 ANS:533
N:238 ANS:535
N:239 ANS:537
N:240 ANS:537
N:241 ANS:557
N:242 ANS:570
N:243 ANS:572
N:244 ANS:574
N:245 ANS:576
N:246 ANS:578
N:247 ANS:580
N:248 ANS:582
N:249 ANS:584
N:250 ANS:584
N:251 ANS:604
N:252 ANS:619
N:253 ANS:621
N:254 ANS:623
N:255 ANS:625
N:256 ANS:627
N:257 ANS:629
N:258 ANS:631
N:259 ANS:633
N:260 ANS:633
N:261 ANS:653
N:262 ANS:670
N:263 ANS:672
N:264 ANS:674
N:265 ANS:676
N:266 ANS:678
N:267 ANS:680
N:268 ANS:682
N:269 ANS:684
N:270 ANS:684
N:271 ANS:704
N:272 ANS:723
N:273 ANS:725
N:274 ANS:727
N:275 ANS:729
N:276 ANS:731
N:277 ANS:733
N:278 ANS:735
N:279 ANS:737
N:280 ANS:737
N:281 ANS:757
N:282 ANS:778
N:283 ANS:780
N:284 ANS:782
N:285 ANS:784
N:286 ANS:786
N:287 ANS:788
N:288 ANS:790
N:289 ANS:792
N:290 ANS:792
N:291 ANS:812
N:292 ANS:835
N:293 ANS:837
N:294 ANS:839
